"No.","Time","Source","Destination","Protocol","Length","Info"
"711","5.985112925","128.135.24.73","206.123.170.175","TLSv1.2","844","Application Data"
"712","5.985349921","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=49254 Win=64128 Len=0"
"713","5.986271962","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=49254 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"714","5.986376390","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=50714 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"715","5.986376459","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=52174 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"716","5.986376547","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=55094 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"717","5.986376593","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=58014 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"718","5.986376643","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=60934 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"719","5.986394185","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=52174 Win=64128 Len=0"
"720","5.986415457","128.135.24.73","206.123.170.175","TLSv1.2","1867","Application Data"
"721","5.986447664","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=65667 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"722","5.986447706","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=68587 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"723","5.986824512","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=70047 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"724","5.986824553","128.135.24.73","206.123.170.175","TLSv1.2","1347","Application Data"
"725","5.987356728","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=72800 Win=64128 Len=0"
"726","5.991565527","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=72800 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"727","5.991661914","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=74260 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"728","5.991673549","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=75720 Win=70016 Len=0"
"732","6.038147952","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=75720 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"733","6.038147984","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=78640 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"734","6.038160218","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=78640 Win=75776 Len=0"
"735","6.038163854","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=81560 Win=81664 Len=0"
"737","6.044322313","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=81560 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"738","6.044322410","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=84480 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"739","6.044356775","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=84480 Win=87552 Len=0"
"740","6.044361931","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=87400 Win=93312 Len=0"
"741","6.044751805","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"742","6.044751831","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=90320 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"743","6.044760382","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=90320 Win=99200 Len=0"
"744","6.044765833","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=93240 Win=104960 Len=0"
"745","6.044811730","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=93240 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"746","6.044811765","128.135.24.73","206.123.170.175","TLSv1.2","1514","Application Data"
"747","6.044818484","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=96160 Win=110848 Len=0"
"748","6.044907052","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=97620 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"749","6.044907079","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=99080 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"750","6.044907114","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=102000 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"751","6.044907150","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=104920 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"752","6.044918483","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=99080 Win=116736 Len=0"
"753","6.044921907","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=102000 Win=122496 Len=0"
"754","6.044925087","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=104920 Win=128384 Len=0"
"755","6.044963866","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=106380 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"756","6.044963895","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"757","6.044970163","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=107840 Win=134272 Len=0"
"758","6.044973761","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=110760 Win=140032 Len=0"
"760","6.045697478","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=110760 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"761","6.045708747","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=113680 Win=145920 Len=0"
"762","6.046715000","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"763","6.046715232","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=116600 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"764","6.046715290","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=119520 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"765","6.046730624","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=116600 Win=151680 Len=0"
"766","6.046736161","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=119520 Win=157568 Len=0"
"767","6.046765235","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=120980 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"768","6.046765270","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=122440 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"769","6.046765307","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=125360 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"770","6.046772203","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=122440 Win=163456 Len=0"
"771","6.046776757","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=125360 Win=169216 Len=0"
"772","6.046858224","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=126820 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"773","6.046858257","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"774","6.046858313","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=131200 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"775","6.046867035","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=128280 Win=175104 Len=0"
"776","6.046871167","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=131200 Win=180992 Len=0"
"777","6.046876276","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=134120 Win=186752 Len=0"
"778","6.047890171","128.135.24.73","206.123.170.175","TCP","2862","443  >  41816 [PSH, ACK] Seq=134120 Ack=4628 Win=64128 Len=2808 [TCP segment of a reassembled PDU]"
"779","6.047903516","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=136928 Win=192384 Len=0"
"781","6.050983583","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=136928 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"782","6.051028540","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=139848 Win=198272 Len=0"
"783","6.051042187","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=139848 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"784","6.051049702","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=142768 Win=204032 Len=0"
"785","6.051169675","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=142768 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"786","6.051176664","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4628 Ack=145688 Win=209920 Len=0"
"787","6.058894792","206.123.170.175","128.135.24.73","TLSv1.2","183","Application Data"
"789","6.097600717","128.135.24.73","206.123.170.175","TCP","166","443  >  41816 [ACK] Seq=145688 Ack=4628 Win=64128 Len=112 [TCP segment of a reassembled PDU]"
"790","6.097601286","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"791","6.097601336","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=148720 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"792","6.097601385","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=151640 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"793","6.097601433","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=154560 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"794","6.097719223","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=148720 Win=215808 Len=0"
"795","6.097735975","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=151640 Win=221568 Len=0"
"796","6.097741539","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=154560 Win=227456 Len=0"
"797","6.097750679","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=157480 Win=233216 Len=0"
"798","6.097777621","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=157480 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"799","6.097788648","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=160400 Win=239104 Len=0"
"801","6.103832630","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"802","6.103832881","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=163320 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"803","6.103832955","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=166240 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"804","6.103833003","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [ACK] Seq=169160 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"805","6.103901471","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=163320 Win=244992 Len=0"
"806","6.103916249","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=166240 Win=250752 Len=0"
"807","6.103923025","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=169160 Win=256640 Len=0"
"808","6.103987605","128.135.24.73","206.123.170.175","TCP","1514","443  >  41816 [PSH, ACK] Seq=170620 Ack=4628 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"809","6.103987675","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=172080 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"810","6.103987739","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=175000 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"811","6.103987814","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"812","6.103987875","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=180840 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"813","6.104005579","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=172080 Win=262528 Len=0"
"814","6.104013573","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=175000 Win=268288 Len=0"
"815","6.104021533","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=177920 Win=274176 Len=0"
"816","6.104028955","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=180840 Win=279936 Len=0"
"817","6.104039140","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=183760 Win=285824 Len=0"
"818","6.104060807","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=183760 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"819","6.104060886","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=186680 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"820","6.104072009","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=186680 Win=291712 Len=0"
"821","6.104078874","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=189600 Win=297472 Len=0"
"822","6.104239195","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=189600 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"823","6.104239255","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=192520 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"824","6.104239335","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"825","6.104239413","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=198360 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"826","6.104255550","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=192520 Win=303360 Len=0"
"827","6.104261623","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=195440 Win=309248 Len=0"
"828","6.104268104","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=198360 Win=315008 Len=0"
"829","6.104273561","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=201280 Win=320896 Len=0"
"830","6.104281215","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=201280 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"831","6.104281267","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=204200 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"832","6.104281324","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=207120 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"833","6.104281374","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"834","6.104294708","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=204200 Win=326656 Len=0"
"835","6.104300844","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=207120 Win=332544 Len=0"
"836","6.104306355","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=210040 Win=338432 Len=0"
"837","6.104313224","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=212960 Win=344192 Len=0"
"838","6.104343906","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=212960 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"839","6.104343964","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=215880 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"840","6.104344035","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=218800 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"841","6.104344112","128.135.24.73","206.123.170.175","TLSv1.2","2974","Application Data"
"842","6.104359664","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=215880 Win=350080 Len=0"
"843","6.104367084","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=218800 Win=355968 Len=0"
"844","6.104374601","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=221720 Win=361728 Len=0"
"845","6.104381878","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=224640 Win=367616 Len=0"
"846","6.104391389","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=224640 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"847","6.104391450","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=227560 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"848","6.104402388","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=227560 Win=373376 Len=0"
"849","6.104409350","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=230480 Win=379264 Len=0"
"850","6.104582177","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=230480 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
"851","6.104591489","206.123.170.175","128.135.24.73","TCP","54","41816  >  443 [ACK] Seq=4757 Ack=233400 Win=385152 Len=0"
"852","6.105082722","128.135.24.73","206.123.170.175","TCP","2974","443  >  41816 [PSH, ACK] Seq=233400 Ack=4628 Win=64128 Len=2920 [TCP segment of a reassembled PDU]"
